"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2015";"2016";"2017";"2018";"2019";"2020" 
"192779 Reserver og budgetreguleringer "; 0,0; 2,3; 2,2; 22,4; 22,0; 21,6
"19277950 Reserve vedrørende de maritime uddannelser "; 0,0; 2,3; 2,2; 2,2; 2,1; 2,1
"19277970 Reserve til lavere deltagerbetaling "; 0,0; 0,0; 0,0; 20,2; 19,8; 19,4
"19277980 Omstillingsreserver "; 0,0; 0,0; 0,0; 0,0; 0,1; 0,1
"1928 De videregående kunstneriske uddannelser "; 427,2; 427,0; 418,6; 406,1; 391,6; 363,5
"192807 Arkitektskolen Aarhus "; 104,1; 103,7; 102,2; 99,0; 95,4; 88,8
"19280710 Almindelig virksomhed "; 104,1; 103,7; 102,2; 99,0; 95,4; 88,8
"19280790 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"19280795 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"19280797 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"192808 Det Kongelige Danske Kunstakademi "; 273,0; 272,6; 268,1; 259,3; 249,5; 232,0
"19280810 Almindelig virksomhed "; 272,2; 264,5; 260,1; 251,4; 241,7; 224,5
"19280820 Bibliotek "; 0,0; 7,3; 7,2; 7,1; 7,0; 6,8
"19280831 Kunstneriske uddannelsers rektorer "; 0,8; 0,8; 0,8; 0,8; 0,8; 0,7
"19280890 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"19280895 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"19280897 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"192825 Designskolen Kolding "; 50,1; 48,1; 48,3; 47,8; 46,7; 42,7
"19282550 Designskolen Kolding, driftstilskud "; 50,1; 48,1; 48,3; 47,8; 46,7; 42,7
"192879 Reserver og budgetreguleringer "; 0,0; 2,6; 0,0; 0,0; 0,0; 0,0
"19287950 regulering dimensionering kunst "; 0,0; -0,9; 0,0; 0,0; 0,0; 0,0
"19287951 regulering dimensionering øvrig drift "; 0,0; -0,7; 0,0; 0,0; 0,0; 0,0
"19287960 Reserve, kunstuddannelser "; 0,0; 2,9; 0,0; 0,0; 0,0; 0,0
"19287961 Reserve kunstuddannelser øvrig drift "; 0,0; 1,3; 0,0; 0,0; 0,0; 0,0
"193 Tværgående aktiviteter og udvikling "; 258,1; 246,6; 240,4; 223,2; 218,1; 215,2
"1932 Internationale aktiviteter "; 50,4; 59,9; 44,6; 44,0; 43,1; 42,8
"193201 Tilskud til mindre institutioner "; 14,0; 15,5; 15,4; 15,2; 14,7; 14,7
"19320120 Det Kongelige Danske Videnskabernes Selskab "; 2,3; 2,7; 2,7; 2,7; 2,6; 2,6
"19320130 Kommissionen, oldislandsk ordbog "; 4,4; 4,5; 4,4; 4,3; 4,2; 4,2
"19320150 ECMI Europæisk Center for Mindretalsspørgsmål"; 3,3; 4,0; 4,0; 3,9; 3,8; 3,8
"19320161 Det Danske Institut i Athen "; 2,1; 2,1; 2,1; 2,1; 2,0; 2,0
"19320163 Det Danske Institut i Damaskus "; 1,9; 2,2; 2,2; 2,2; 2,1; 2,1
"193207 Det Europæiske Universitetsinstitut, Firenze "; 4,6; 4,8; 5,0; 5,0; 5,0; 5,0
"19320710 Det europæiske Universitetsinstitut, Firenze "; 4,6; 4,8; 5,0; 5,0; 5,0; 5,0
"193213 Internationalt samarbejde "; 17,8; 20,3; 20,1; 19,7; 19,3; 19,0
"19321310 Internationalt samarbejde "; 0,6; 1,7; 1,7; 1,6; 1,6; 1,6
"19321318 Det Danske Studenterhus i Paris "; 1,0; 1,0; 1,0; 1,0; 1,0; 1,0
"19321320 Lektoratsordningen "; 7,9; 9,4; 9,3; 9,1; 8,9; 8,7
"19321350 Fulbright Kommissionen "; 2,7; 2,6; 2,6; 2,6; 2,5; 2,5
"19321360 Kulturaftalemidler "; 5,6; 5,6; 5,5; 5,4; 5,3; 5,2
"193215 Ph.d.-stipendier i udlandet (Firenze) "; 4,0; 4,0; 4,1; 4,1; 4,1; 4,1
"19321510 Ph.d. løn "; 4,0; 4,0; 4,1; 4,1; 4,1; 4,1
"193217 Fonden for Entreprenørskab "; 9,9; 15,3; 0,0; 0,0; 0,0; 0,0
"19321710 Tilskud til Fonden for Entreprenørskab "; 9,9; 15,3; 0,0; 0,0; 0,0; 0,0
"1934 Udvikling af erhvervsrettede uddannelser og i "; 92,7; 64,8; 66,7; 53,2; 52,5; 52,3
"193401 Forsøgs- og udviklingsarbejde "; 62,3; 31,8; 33,7; 23,7; 23,4; 23,4
"19340110 Udvikling mv. "; 43,4; 10,4; 10,4; 10,5; 10,4; 10,5
"19340111 Statens selvforsikringsordning "; 0,3; 3,3; 3,3; 3,2; 3,1; 3,0
"19340112 Lægeerklæringer, handicaptillæg "; 7,3; 5,9; 7,9; 7,7; 7,6; 7,6
"19340145 Studerende og studerendes råd "; 1,3; 1,7; 1,7; 1,7; 1,7; 1,7
"19340150 Udvikling af det maritime uddannelsessystem "; 0,0; 0,6; 0,6; 0,6; 0,6; 0,6
"19340170 Videncenter i Jelling "; 10,0; 9,9; 9,8; 0,0; 0,0; 0,0
"193402 Friplads og stipendier "; 15,5; 15,2; 15,1; 14,8; 14,5; 14,5
"19340210 Tilskud til fripladser og stipendier "; 15,5; 15,2; 15,1; 14,8; 14,5; 14,5
"193403 Lån til institutionsformål og tilskud til ins "; 3,0; 5,8; 5,8; 5,6; 5,5; 5,3
"19340310 Lån og tilskud til institutionsformål "; 3,0; 2,6; 2,6; 2,5; 2,5; 2,4
"19340320 Tilskud til institutionsudvikling "; 0,0; 3,2; 3,2; 3,1; 3,0; 2,9
"193407 Forsøgs- og udviklingsarbejde m.v. "; 11,9; 12,0; 12,1; 9,1; 9,1; 9,1
"19340720 Udviklingsprojekter, efteruddannelse mv. "; 2,8; 8,1; 8,2; 8,2; 8,2; 8,2
"19340730 Udviklingsprogram "; 8,9; 2,9; 2,9; 0,0; 0,0; 0,0
"19340745 Tilskud til SVU-administratorer "; 1,0; 1,0; 1,0; 0,9; 0,9; 0,9
"19340780 Praksisnær lederuddannelse "; -0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"1935 Tværgående bevillinger "; 115,0; 121,9; 129,1; 126,0; 122,5; 120,1
"193512 Lokaleforsyning "; 2,8; 0,0; 0,0; 0,0; 0,0; 0,0
"19351210 Almindelig virksomhed "; 2,8; 0,0; 0,0; 0,0; 0,0; 0,0
"193515 Vejledningsaktiviteter mv. "; 43,1; 43,9; 43,9; 42,5; 41,5; 40,7
"19351510 Almindelig virksomhed "; 43,1; 43,9; 43,9; 42,5; 41,5; 40,7
"193520 Tilskud til Danmarks Evalueringsinstitut "; 0,0; 6,6; 6,6; 6,5; 6,4; 6,3
"19352010 Almindelig virksomhed "; 0,0; 6,6; 6,6; 6,5; 6,4; 6,3
"193521 It-opgaver mv. "; 7,9; 13,8; 21,5; 21,1; 19,8; 19,4
"19352110 It- og statistikopgaver "; 7,9; 13,8; 21,5; 21,1; 19,8; 19,4
"193524 Studenterrådgivningen "; 25,1; 25,0; 24,7; 24,2; 23,7; 23,2
"19352410 Almindelig virksomhed "; 25,1; 25,0; 24,7; 24,2; 23,7; 23,2
"19352490 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"193525 Danmarks Akkrediteringsinstitution "; 36,2; 32,6; 32,4; 31,7; 31,1; 30,5
"19352510 Almindelig virksomhed "; 36,2; 32,6; 32,4; 31,7; 31,1; 30,5
"19352590 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"194 Forskning og innovation "; 3144,4; 2596,9; 2298,1; 2359,4; 2341,6; 2147,8
"1941 Det Frie Forskningsråd "; 1163,4; 922,4; 816,9; 960,0; 940,8; 922,0
"194112 Det Frie Forskningsråd "; 1163,4; 922,4; 816,9; 960,0; 940,8; 922,0
"19411210 Det Frie Forskningsråd "; 1163,4; 922,4; 816,9; 960,0; 940,8; 922,0
"1944 Danmarks Innovationsfond "; 1176,3; 851,7; 678,4; 623,1; 610,7; 587,7
"194401 Danmarks Innovationsfonds uddelinger "; 1151,4; 830,3; 652,8; 597,5; 585,3; 562,3
"19440110 Strategisk og udfordringsdrevet forskning "; 798,1; 563,7; 356,9; 331,6; 324,8; 318,0
"19440120 Teknologiudvikling og innovation "; 353,3; 266,6; 295,9; 265,9; 260,5; 244,3
"194402 Danmarks Innovationsfonds sekretariat "; 24,9; 21,4; 25,6; 25,6; 25,4; 25,4
"19440210 Danmarks Innovationsfonds sekretariat "; 24,9; 21,4; 25,6; 25,6; 25,4; 25,4
"1945 Forskningsinfrastruktur "; 107,4; 103,7; 103,9; 123,3; 132,2; 129,7
"194501 Forskningsinfrastruktur "; 92,6; 89,2; 89,6; 109,0; 118,2; 116,0
"19450110 Pulje til forskningsinfrastruktur "; 61,6; 60,0; 60,4; 74,7; 84,3; 82,1
"19450111 Forskningsunderstøttende aktiviteter "; 12,8; 12,8; 12,9; 12,9; 12,9; 12,9
"19450120 Registerforskning "; 9,8; 9,6; 9,5; 9,6; 9,4; 9,4
"19450121 DDA-sundhed "; 3,4; 3,3; 3,3; 3,3; 3,2; 3,2
"19450122 Dansk Center for Havforskning "; 2,0; 0,0; 0,0; 5,0; 5,0; 5,0
"19450123 Forskningsstationen Zackenberg "; 3,0; 3,5; 3,5; 3,5; 3,4; 3,4
"194502 Dansk e-Infrastruktur Samarbejde "; 14,8; 14,5; 14,3; 14,3; 14,0; 13,7
"19450210 Computing og e-Science "; 14,8; 14,5; 14,3; 14,3; 14,0; 13,7
"19450211 Højhastighedsnet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"1946 Innovationsinfrastruktur "; 639,5; 660,4; 660,1; 631,5; 636,9; 487,8
"194601 Innovationsinfrastruktur "; 619,5; 609,1; 610,8; 611,1; 617,2; 467,4
"19460110 Godkendte Teknologiske Serviceinstitutter "; 324,6; 320,3; 322,2; 322,2; 322,2; 255,7
"19460120 Medfinansiering af innovationsmiljøer "; 216,3; 209,7; 211,0; 211,0; 211,0; 127,4
"19460130 Innovationsnetværk Danmark "; 78,6; 79,1; 77,6; 77,9; 84,0; 84,3
"194602 Formidling og kvalitet i forskning "; 22,1; 35,7; 33,8; 15,0; 14,5; 15,3
"19460210 Forskningsformidling "; 8,7; 11,0; 9,0; 8,9; 8,6; 8,5
"19460211 Open Science og forskningsintegritet "; 0,0; 9,8; 9,9; 0,0; 0,0; 0,0
"19460212 EliteForsk "; 9,8; 9,8; 9,9; 0,0; 0,0; 0,0
"19460215 Analyser og vederlag til råd og udvalg mv. "; 3,6; 5,1; 5,0; 6,1; 5,9; 6,8
"194603 Særlige forskningsaktiviteter "; -2,2; 15,6; 15,5; 5,4; 5,2; 5,1
"19460310 Videreførelse af initiativer på Bornholm "; 5,9; 5,7; 5,5; 5,4; 5,2; 5,1
"19460311 Tilskud til Grundtvigcenteret "; 9,9; 9,9; 10,0; 0,0; 0,0; 0,0
"19460312 Tilskud til Fonden for Entreprenørskab "; -1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"19460319 IKT-vækstmiljø "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"19460320 Forskeruddannelse "; -16,3; 0,0; 0,0; 0,0; 0,0; 0,0
"1947 Dansk deltagelse i international forskning "; 57,8; 58,7; 38,8; 21,5; 21,0; 20,6
"194701 Dansk deltagelse i international forskning "; 57,8; 58,7; 38,8; 21,5; 21,0; 20,6
"19470110 Internationalt forskningssamarbejde "; 22,5; 19,3; 19,0; 7,1; 6,9; 6,8
"19470111 Deltagelse i europæisk forskernetværk (COST) "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"19470115 EUopSTART "; 12,6; 19,7; 19,7; 14,3; 14,0; 13,7
"19470116 Viden- og innovationssamfund (KIC) "; 22,7; 19,7; 0,0; 0,0; 0,0; 0,0
"195 Internationale forskningsaktiviteter "; 554,1; 546,1; 663,9; 648,2; 649,9; 647,2
"1952 Obligatoriske internationale "; 205,9; 197,4; 195,3; 197,9; 198,7; 199,0
"195201 Obligatoriske internationale medlemsskaber "; 205,9; 197,4; 195,3; 197,9; 198,7; 199,0
"19520110 CERN "; 139,3; 125,0; 133,5; 133,5; 133,5; 133,5
"19520111 ESO "; 22,9; 23,6; 24,1; 24,5; 25,0; 25,0
"19520114 EMBL "; 16,3; 16,3; 17,2; 17,6; 17,9; 18,2
"19520115 ESRF "; 9,7; 10,8; 10,9; 11,1; 11,1; 11,1
"19520116 XFEL "; 15,6; 19,3; 7,2; 8,8; 8,8; 8,8
"19520120 Tungtvandsreaktor i Halden (HBWR) "; 2,1; 2,4; 2,4; 2,4; 2,4; 2,4
"1953 Danske medlemskaber ved internationale forsk "; 219,3; 223,0; 224,3; 209,2; 209,3; 209,2
"195301 Medlemsskaber ved internationale forsk.inst. "; 219,3; 223,0; 224,3; 209,2; 209,3; 209,2
"19530110 Etablering af European Spallation Source "; 211,5; 215,0; 216,3; 201,2; 201,2; 201,1
"19530115 E-ELT "; 3,9; 3,9; 3,9; 3,9; 3,9; 3,9
"19530120 Internationale medlemsskaber "; 3,8; 3,9; 3,9; 3,9; 4,0; 4,0
"19530121 Danske rep. i internationale råd og udvalg "; 0,1; 0,2; 0,2; 0,2; 0,2; 0,2
"1955 Arktisk forskning "; 20,3; 16,8; 16,6; 13,5; 14,3; 11,3
"195505 Tilskud til arktisk forskning "; 20,3; 16,8; 16,6; 13,5; 14,3; 11,3
"19550530 Arktisk forskning "; 9,4; 9,4; 9,2; 9,2; 9,0; 9,0
"19550532 Arktisk Universitet "; 3,0; 3,0; 3,0; 0,0; 0,0; 0,0
"19550533 Unders. i.f.m. FN's havretskonvention "; 1,5; 1,5; 0,0; 0,0; 0,0; 0,0
"19550535 Polaraktiviteter "; 2,3; 2,9; 2,9; 2,3; 2,3; 2,3
"19550537 Understøttelse af arktisk forskning "; 0,0; 0,0; 1,5; 2,0; 3,0; 0,0
"19550540 Klimaforskning i havstrømme omkring Færøerne "; 4,1; 0,0; 0,0; 0,0; 0,0; 0,0
"1956 Rumområdet "; 108,6; 108,9; 227,7; 227,6; 227,6; 227,7
"195601 Obligatorisk bidrag til ESA "; 107,9; 107,4; 109,0; 109,0; 109,0; 109,0
"19560110 Den Europæiske Rumorganisation (ESA) "; 107,9; 107,4; 109,0; 109,0; 109,0; 109,0
"195602 Ikke-obligatoriske programmer under ESA "; 0,0; 0,0; 116,8; 116,7; 116,7; 116,8
"19560210 Ikke-obligatoriske programmer under ESA "; 0,0; 0,0; 116,8; 116,7; 116,7; 116,8
"195603 Understøttende aktiviteter på rumområdet "; 0,7; 1,5; 1,9; 1,9; 1,9; 1,9
"19560310 Formidling om rummet "; 0,2; 0,3; 0,3; 0,3; 0,3; 0,3
"19560315 Dansk deltagelse i rum-samarbejde "; 0,5; 1,2; 1,2; 1,2; 1,2; 1,2
"19560320 Rumforskningsudvalget "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"19560321 Koordinering og regulering af rumområdet "; 0,0; 0,0; 0,3; 0,3; 0,3; 0,3
"196 Dekommissionering af nukleare anlæg "; 74,3; 71,0; 70,2; 68,7; 67,3; 66,0
"1961 Dekommissionering af nukleare anlæg "; 74,3; 71,0; 70,2; 68,7; 67,3; 66,0
"196103 Dansk Dekommissionering "; 74,3; 71,0; 70,2; 68,7; 67,3; 66,0
"19610310 Almindelig virksomhed "; 74,3; 71,0; 70,2; 68,7; 67,3; 66,0
"198 Støtteordninger "; 21411,5; 21395,4; 21507,8; 21172,2; 21050,6; 20986,2
"1981 Statens uddannelsesstøtte "; 20631,5; 20699,4; 20853,1; 20575,7; 20454,1; 20387,6
"198101 Stipendier "; 20366,5; 20590,4; 20686,3; 20282,6; 20019,0; 19789,0
"19810110 Stipendier "; 20366,5; 20590,4; 20686,3; 20282,6; 20019,0; 19789,0
"198111 Lånevirksomhed "; 736,3; 513,2; 657,5; 758,0; 868,2; 978,3
"19811110 Studielån, statslån og FM-gæld "; 4200,4; 4385,5; 4109,2; 4038,7; 3992,7; 3952,8
"19811115 Studielån "; -2012,0; -2162,5; -2022,5; -1972,0; -1911,8; -1831,7
"19811120 Genudlån "; -1452,1; -1709,8; -1429,2; -1308,7; -1212,7; -1142,8
"198112 Forrentning af lånevirksomhed "; -508,1; -483,3; -549,6; -523,8; -492,0; -438,6
"19811215 Renter af studielån "; -611,5; -666,0; -688,0; -808,0; -928,0; -1028,0
"19811220 Forrentning af genudlån "; 103,4; 182,7; 138,4; 284,2; 436,0; 589,4
"198113 Forrentning af øvrig lånevirksomhed "; -25,9; -26,1; -26,1; -26,1; -26,1; -26,1
"19811315 Renter af statslån "; -25,9; -26,1; -26,1; -26,1; -26,1; -26,1
"198114 Tab på studiegæld "; 70,7; 100,0; 80,0; 80,0; 80,0; 80,0
"19811410 Tab på studiegæld "; 70,7; 100,0; 80,0; 80,0; 80,0; 80,0
"198121 Tillæg "; -8,1; -7,6; -7,8; -7,8; -7,8; -7,8
"19812110 Tillæg vedr. indtægtskontrollen "; -8,1; -7,6; -7,8; -7,8; -7,8; -7,8
"198131 Bonusstipendium "; 0,0; 12,8; 12,8; 12,8; 12,8; 12,8
"19813110 Bonusstipendium "; 0,0; 12,8; 12,8; 12,8; 12,8; 12,8
"1982 Støtte til befordring "; 466,1; 371,7; 360,1; 301,9; 301,9; 304,0
"198202 Befordringsrabat "; 466,1; 371,7; 360,1; 301,9; 301,9; 304,0
"19820210 Befordringsrabat "; 466,1; 371,7; 360,1; 301,9; 301,9; 304,0
"1983 Forskellige støtteordninger "; 221,8; 240,3; 241,0; 241,0; 241,0; 241,0
"198301 Specialpædagogisk støtte mv. "; 153,8; 162,1; 169,0; 169,0; 169,0; 169,0
"19830110 Specialpædagogisk "; 153,8; 162,1; 169,0; 169,0; 169,0; 169,0
"198303 Udlandsstipendier "; 68,0; 77,6; 71,4; 71,4; 71,4; 71,4
"19830310 Stipendier til studieafgift "; 68,0; 77,6; 71,4; 71,4; 71,4; 71,4
"198304 Forskellige tilskud "; 0,1; 0,6; 0,6; 0,6; 0,6; 0,6
"19830410 Depositum "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"19830420 Præmiering af uddannelsesopsparing "; 0,1; 0,5; 0,5; 0,5; 0,5; 0,5
"1984 Støtteordninger for voksne "; 92,0; 84,0; 53,6; 53,6; 53,6; 53,6
"198401 Statens voksenuddannelsesstøtte "; 80,8; 72,8; 42,2; 42,2; 42,2; 42,2
"19840110 Statens voksenuddannelsesstøtte "; 80,8; 72,8; 42,2; 42,2; 42,2; 42,2
"198402 Udd. støtte til maritime voksen- og efterudda "; 11,2; 11,2; 11,4; 11,4; 11,4; 11,4
"19840210 Uddannelsesstøtte og tilskud til kost og logi"; 11,2; 11,2; 11,4; 11,4; 11,4; 11,4
"20 Min. for Børn, Undervisning og Ligestilling "; 30190,4; 31179,2; 30180,6; 29594,5; 29029,5; 28380,8
"201 Administration mv. "; 679,2; 716,2; 398,2; 367,2; 346,5; 306,7
"2011 Centralstyrelsen "; 422,4; 464,4; 398,2; 367,2; 346,5; 306,7
"201101 Departementet "; 201,8; 196,2; 184,7; 179,0; 175,1; 171,3
"20110110 Almindelig virksomhed "; 183,6; 182,4; 171,3; 165,9; 162,3; 158,5
"20110125 Ligestillingsafdelingen "; 15,4; 13,8; 13,4; 13,1; 12,8; 12,8
"20110164 Vækstpakkeinitiativer angående praktikpladska"; 2,8; 0,0; 0,0; 0,0; 0,0; 0,0
"20110190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"20110197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"201122 Vejledningsaktiviteter mv. "; 2,1; 4,4; 4,1; 3,8; 3,7; 3,6
"20112210 Vejledningsaktiviteter mv. "; 2,1; 4,4; 4,1; 3,8; 3,7; 3,6
"201131 Styrelsen for Undervisning og Kvalitet "; 218,5; 197,7; 220,0; 187,6; 172,4; 164,0
"20113110 Almindelig virksomhed "; 173,0; 166,1; 183,9; 172,9; 166,9; 164,0
"20113119 Fremme af trivsel og læring hos udsatte børn "; 0,0; 3,5; 7,6; 6,6; 5,5; 0,0
"20113140 TaskForce enhed for tosprogede elever "; 11,2; 0,0; 0,0; 0,0; 0,0; 0,0
"20113160 Inklusionsudvikling "; 15,6; 20,1; 20,4; 0,0; 0,0; 0,0
"20113170 FastholdelsesTaskforce "; 11,9; 0,0; 0,0; 0,0; 0,0; 0,0
"20113175 Brug for alle unge "; 6,8; 8,0; 8,1; 8,1; 0,0; 0,0
"20113197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"201178 Budgetreg. vedr. delloft for indkomstoverførs "; 0,0; 0,0; -0,6; -1,7; -2,8; -3,9
"20117810 Budgetregulering vedr. indkomstoverførsler "; 0,0; 0,0; -0,6; -1,7; -2,8; -3,9
"201179 Reserver og budgetregulering "; 0,0; 66,1; -10,0; -1,5; -1,9; -28,3
"20117910 Budgetregulering "; 0,0; -25,6; -13,7; -7,6; -8,5; -8,3
"20117944 Reserve til initiativer der medfører kommunal"; 0,0; 67,8; 7,4; 5,5; 5,5; 4,9
"20117945 Reserve til justering af kommunale bidrag ved"; 0,0; 21,5; 0,0; 0,0; 0,0; 0,0
"20117950 Reserve og budgetregulering ifm. aftale om st"; 0,0; 6,1; 0,9; 2,0; -2,0; -8,3
"20117965 Budgetregulering vedr. drift af brugerportal "; 0,0; -3,7; 0,0; 0,0; 0,0; 0,0
"20117970 Reserve til nyt trin 3 på merkantile erhvervs"; 0,0; 0,0; 0,0; 1,8; 7,2; 12,2
"20117980 Bonusordning for egu-elever i praktikforløb "; 0,0; 0,0; 17,8; 22,4; 26,1; 7,4
"20117985 Negativ budgetregulering som følge af omlægni"; 0,0; 0,0; -22,4; -25,6; -30,2; -36,2
"2019 Udvikling af dagtilbud "; 256,8; 251,8; 0,0; 0,0; 0,0; 0,0
"201901 Bedre kvalitet i dagtilbud "; 5,9; 0,0; 0,0; 0,0; 0,0; 0,0
"20190110 Ansøgningspulje og forskning "; 5,3; 0,0; 0,0; 0,0; 0,0; 0,0
"20190120 Enkeltstående initiativer vedr bedre kvalitet"; 0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"20190150 Udv. af ledelsesformer i selvejende daginstit"; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"201902 Mere pædagogisk personale i dagtilbud "; 249,3; 251,8; 0,0; 0,0; 0,0; 0,0
"20190210 Mere pædagogisk personale i dagtilbud "; 249,3; 251,8; 0,0; 0,0; 0,0; 0,0
"201904 Reserve vedrørende dagtilbudsloven "; 1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"20190410 Reserve vedrørende dagtilbudsloven "; 1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"202 Grundskolen "; 2761,5; 2721,7; 2764,8; 2708,1; 2659,7; 2612,9
"2022 Frie grundskoler og efterskoler "; 2461,0; 2497,9; 2566,7; 2541,3; 2499,3; 2458,4
"202201 Frie grundskoler mv. "; 5440,4; 5642,4; 6177,0; 6171,5; 6171,5; 6171,5
"20220110 Generelle driftstilskud "; 4779,6; 4952,9; 5523,4; 5592,8; 5592,8; 5592,8
"20220111 Bygningstilskud "; 228,5; 241,8; 258,5; 258,5; 258,5; 258,5
"20220120 Kostafdelinger ved frie grundskoler "; 21,2; 21,2; 21,4; 21,4; 21,4; 21,4
"20220135 Skolefritidsordninger "; 411,1; 426,5; 373,7; 298,8; 298,8; 298,8
"202202 Specielle tilskud til elever i frie grundsk. "; 48,5; 47,8; 47,2; 46,2; 45,3; 44,4
"20220210 Friplads- og opholdsstøtte til elever "; 28,9; 28,5; 28,2; 27,6; 27,1; 26,5
"20220220 Fripladstilskud til SFO "; 5,9; 5,8; 5,7; 5,5; 5,4; 5,3
"20220230 Befordringstilskud til syge elever "; 1,1; 1,1; 1,0; 1,0; 1,0; 1,0
"20220240 Pulje og betalingsloft "; 12,1; 11,9; 11,8; 11,6; 11,3; 11,1
"20220250 Befordringstilskud - brobygning "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"202203 Tilskud til tyske mindretalsskoler "; 15,7; 16,6; 17,7; 17,7; 17,7; 17,7
"20220310 Tilskud til tyske mindretalsskoler "; 12,8; 12,9; 13,0; 13,0; 13,0; 13,0
"20220320 Tilskud til anlægsaktiviteter "; 2,9; 3,7; 4,7; 4,7; 4,7; 4,7
"202211 Efterskoler "; 1987,6; 1934,2; 1912,9; 1853,8; 1815,7; 1778,7
"20221115 Taxametertilskud "; 1526,5; 1481,5; 1451,1; 1402,8; 1374,8; 1346,5
"20221125 Bygningstilskud "; 182,4; 183,6; 184,7; 179,5; 174,6; 171,1
"20221130 Tilskud til specialundervisning mv. "; 164,5; 158,0; 215,0; 210,6; 206,6; 202,5
"20221135 Tilskud til inklusion "; 95,5; 91,3; 44,0; 43,1; 42,2; 41,4
"20221140 Tillægstakster til særligt prioriterede elev "; 16,0; 17,1; 15,4; 15,1; 14,8; 14,5
"20221145 Praktiklærere "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"20221150 Tilskud til befording "; 2,7; 2,6; 2,6; 2,6; 2,6; 2,6
"202212 Grundtilskud mv. til efterskoler "; 144,1; 158,6; 155,4; 152,3; 149,3; 146,3
"20221215 Grundtilskud "; 144,1; 158,6; 155,4; 152,3; 149,3; 146,3
"202222 Kommunale bidrag vedr. frie grundsk. eftersk. "; -5175,4; -5301,7; -5743,5; -5700,2; -5700,2; -5700,2
"20222210 Kommunale bidrag vedrørende frie grundskoler "; -4195,9; -4302,4; -4751,6; -4708,3; -4708,3; -4708,3
"20222230 Kommunale bidrag vedrørende efterskoler "; -979,5; -998,5; -991,9; -991,9; -991,9; -991,9
"20222235 Særlige kommunale bidrag vedr. efterskoler "; 0,0; -0,8; 0,0; 0,0; 0,0; 0,0
"2029 Initiativer på grundskoleområdet "; 300,6; 223,8; 198,1; 166,8; 160,4; 154,5
"202907 It i folkeskolen "; 84,9; 30,0; 2,5; 1,5; 0,0; 0,0
"20290720 Styrkelse af it i folkeskolen "; 1,0; -73,9; -52,1; -23,3; 0,0; 0,0
"20290730 Digitale læringsformer "; 0,9; 0,0; 0,0; 0,0; 0,0; 0,0
"20290740 Forsøg med fjernundervisning i folkeskolen "; 0,0; 0,0; 2,5; 1,5; 0,0; 0,0
"20290759 Styrkelse af it i folkeskolen "; 83,0; 103,9; 52,1; 23,3; 0,0; 0,0
"202908 Internationale undersøgelser i grundskolen "; 6,3; 5,7; 8,7; 6,1; 4,3; 1,4
"20290810 Evaluering i folkeskolen "; -0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"20290820 Internationale undersøgelser "; 7,1; 5,7; 8,7; 6,1; 4,3; 1,4
"202911 Fagligt løft af folkeskolen "; 184,9; 163,4; 162,6; 159,2; 156,1; 153,1
"20291110 Kompetenceudvikling af skoleledere og forvalt"; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"20291120 Kompetenceudvikling af lærere og pædagoger "; 129,6; 127,8; 126,2; 123,6; 121,1; 118,7
"20291130 Ressourcecenter for folkeskolen "; 45,0; 31,2; 32,6; 31,9; 31,3; 30,7
"20291140 Klare mål for folkeskolen "; 10,1; 4,4; 3,8; 3,7; 3,7; 3,7
"202912 Inklusion i folkeskolen "; 24,4; 24,7; 24,3; 0,0; 0,0; 0,0
